напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, еди-новременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Предста-вительские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследова-тельских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровитель-ной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследовате-льские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
   производство машин и оборудования, не включенных в другие группировки	900 	3 835 574 089 	262 645 251 	197 182 944 	131 181 528 	2 034 012 	6 910 581 	834 232 	101 742 	-	154 499 	73 260 	-	20 853 	41 038 	15 088 	21 374 	5 038 	22 180 	3 395 	21 183 	18 070 	1 005 	-	1 908 190 	134 035 	1 660 140 	23 862 035 	645 384 	11 495 498 	3 395 807 	7 833 
   производство автотранспортных средств, прицепов и полуприцепов	449 	4 737 041 170 	222 102 774 	156 537 079 	113 588 776 	3 500 262 	27 275 564 	515 641 	17 863 	-	26 241 	199 268 	892 	3 314 	50 664 	20 580 	12 935 	2 353 	1 956 	684 	36 558 	24 055 	31 953 	23 120 	3 148 091 	69 361 	1 615 432 	11 083 761 	340 557 	6 876 458 	8 329 458 	-
   производство прочих транспортных средств и оборудования	362 	7 426 410 203 	607 603 257 	529 532 186 	358 459 763 	3 492 081 	37 476 967 	9 973 943 	600 747 	53 890 	834 575 	485 477 	89 865 	349 951 	1 004 398 	429 559 	625 579 	378 899 	541 644 	367 377 	129 635 	108 626 	164 595 	48 229 	7 262 727 	593 533 	2 965 312 	52 503 797 	727 633 	3 618 071 	2 741 657 	3 940 
   производство мебели	182 	415 794 633 	12 726 357 	12 692 969 	8 118 642 	89 230 	2 995 	367 951 	2 664 	-	10 347 	-	-	-	9 713 	9 713 	-	-	714 	-	4 367 	29 	-	-	57 143 	139 	50 898 	-	86 911 	1 420 994 	1 995 136 	72 
   производство прочих готовых изделий	192 	497 736 009 	11 683 036 	11 507 777 	9 019 684 	223 440 	307 329 	137 044 	20 804 	-	-	59 	-	356 	49 956 	3 	-	-	166 	-	-	-	313 	-	430 087 	18 973 	320 391 	-	60 685 	1 381 084 	3 324 731 	99 
 ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА	2 992 	24 172 712 785 	6 148 286 754 	5 707 266 982 	1 696 880 194 	18 391 058 	11 997 111 	2 869 059 	235 476 	-	426 152 	285 765 	98 558 	-	647 410 	233 107 	34 190 	29 882 	41 681 	5 968 	54 425 	49 734 	-	-	23 875 012 	2 076 261 	12 789 374 	164 116 918 	686 757 	5 530 402 	4 410 259 	2 035 817 
 производство, передача и распределение электроэнергии	818 	18 716 853 914 	5 604 582 576 	5 243 169 824 	1 283 345 556 	13 197 240 	11 921 059 	1 910 596 	229 603 	-	151 310 	225 749 	97 803 	-	605 355 	229 153 	32 092 	27 931 	1 612 	-	40 776 	40 776 	-	-	15 553 120 	1 217 367 	11 593 158 	151 972 357 	511 300 	2 875 601 	3 457 364 	2 034 140 
   производство и распределение газообразного топлива	213 	2 265 061 415 	180 090 356 	177 306 724 	174 077 627 	576 707 	8 431 	153 847 	2 813 	-	59 765 	7 672 	-	-	4 452 	384 	1 466 	1 466 	7 183 	1 039 	178 	178 	-	-	3 673 149 	605 323 	236 849 	8 943 309 	33 510 	693 443 	312 707 	-
   производство, передача и распределение пара и горячей воды; кондиционирование воздуха	1 961 	3 190 797 456 	363 613 822 	286 790 434 	239 457 011 	4 617 111 	67 621 	804 616 	3 060 	-	215 077 	52 344 	755 	-	37 603 	3 570 	632 	485 	32 886 	4 929 	13 471 	8 780 	-	-	4 648 743 	253 571 	959 367 	3 201 252 	141 947 	1 961 358 	640 188 	1 677 
 ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ	2 274 	2 536 455 033 	281 854 127 	256 897 051 	231 320 857 	1 141 982 	1 139 790 	4 121 531 	58 484 	-	286 454 	35 732 	62 898 	1 272 	316 805 	4 764 	410 949 	204 692 	8 518 	600 	56 700 	3 060 	-	-	5 927 391 	141 751 	1 038 379 	2 302 369 	168 452 	3 327 666 	515 581 	-
