напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств за счет прибыли на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представитель-ские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследоватеьских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровитель-ной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставле-нию услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследователькие и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ	1 168 	1 038 205 650 	61 793 372 	32 860 203 	25 732 262 	153 622 	-	1 595 081 	29 477 	263 341 	142 457 	8 814 	394 508 	58 281 	8 876 	7 645 	71 684 	13 162 	18 692 	13 186 	45 691 	39 170 	162 381 	12 294 	12 228 384 	1 675 723 	21 012 777 	145 720 	276 683 	1 649 131 	103 311 	540 
   деятельность сухопутного и трубопроводного транспорта	448 	425 298 929 	17 150 371 	16 750 536 	15 303 679 	19 881 	-	1 482 296 	24 868 	258 887 	141 148 	7 165 	394 508 	54 621 	7 510 	7 351 	66 245 	13 162 	17 788 	13 186 	45 691 	39 170 	162 381 	12 294 	9 806 561 	1 521 776 	18 068 530 	145 720 	81 211 	389 824 	23 127 	540 
        деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки	2 	188 623 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1 901 	-	186 722 	-	-	-	-	-
        деятельность железнодорожного транспорта: грузовые перевозки	82 	184 670 463 	664 269 	540 224 	482 287 	16 817 	-	1 043 925 	-	258 887 	79 574 	4 979 	375 945 	54 428 	-	-	53 599 	13 146 	1 586 	283 	45 679 	39 158 	158 099 	8 012 	392 529 	97 294 	1 353 855 	145 720 	10 242 	295 220 	4 889 	-
        деятельность прочего сухопутного пассажирского транспорта	115 	5 871 632 	29 547 	29 547 	22 153 	89 	-	27 363 	-	-	1 922 	1 656 	18 563 	-	4 998 	4 842 	-	-	-	-	-	-	-	-	852 423 	67 637 	26 954 	-	1 431 	52 478 	4 764 	40 
        деятельность автомобильного грузового транспорта и услуги по перевозкам	219 	61 441 286 	5 355 853 	5 080 063 	3 698 537 	2 975 	-	217 437 	-	-	486 	530 	-	-	-	-	12 630 	-	1 580 	1 369 	-	-	60 	60 	269 684 	44 233 	204 901 	-	69 382 	40 381 	9 080 	-
        деятельность трубопроводного транспорта	30 	173 126 925 	11 100 702 	11 100 702 	11 100 702 	-	-	193 571 	24 868 	-	59 166 	-	-	193 	2 512 	2 509 	16 	16 	14 622 	11 534 	12 	12 	4 222 	4 222 	8 290 024 	1 312 612 	16 296 098 	-	156 	1 745 	4 394 	500 
   деятельность водного транспорта	66 	83 936 354 	3 529 733 	3 529 733 	2 797 278 	-	-	254 	-	-	-	-	-	-	-	-	-	-	254 	-	-	-	-	-	86 846 	290 	219 793 	-	27 758 	552 977 	5 711 	-
   деятельность воздушного и космического транспорта	38 	18 805 448 	4 256 425 	4 244 570 	-	750 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	205 554 	3 640 	293 023 	-	14 038 	36 530 	200 	-
   складское хозяйство и вспомогательная транспортная деятельность	604 	509 811 365 	36 804 751 	8 283 272 	7 579 213 	132 991 	-	112 531 	4 609 	4 454 	1 309 	1 649 	-	3 660 	1 366 	294 	5 439 	-	650 	-	-	-	-	-	2 066 670 	148 183 	2 428 123 	-	153 599 	669 750 	74 173 	-
